Cycle,Status,Array,# Arrays
DBTL-0,Success,1-gRNA,120
DBTL-0,Success,2-gRNA,0
DBTL-0,Success,3-gRNA,0
DBTL-0,Success,4-gRNA,0
DBTL-1,Success,1-gRNA,0
DBTL-1,Success,2-gRNA,27
DBTL-1,Success,3-gRNA,30
DBTL-1,Success,4-gRNA,0
DBTL-2,Success,1-gRNA,0
DBTL-2,Success,2-gRNA,18
DBTL-2,Success,3-gRNA,30
DBTL-2,Success,4-gRNA,5
DBTL-3,Success,1-gRNA,0
DBTL-3,Success,2-gRNA,25
DBTL-3,Success,3-gRNA,25
DBTL-3,Success,4-gRNA,4
DBTL-4,Success,1-gRNA,0
DBTL-4,Success,2-gRNA,24
DBTL-4,Success,3-gRNA,27
DBTL-4,Success,4-gRNA,5
DBTL-5,Success,1-gRNA,0
DBTL-5,Success,2-gRNA,25
DBTL-5,Success,3-gRNA,29
DBTL-5,Success,4-gRNA,4
DBTL-6,Success,1-gRNA,0
DBTL-6,Success,2-gRNA,10
DBTL-6,Success,3-gRNA,29
DBTL-6,Success,4-gRNA,20
DBTL-0,Failed,1-gRNA,3
DBTL-0,Failed,2-gRNA,0
DBTL-0,Failed,3-gRNA,0
DBTL-0,Failed,4-gRNA,0
DBTL-1,Failed,1-gRNA,0
DBTL-1,Failed,2-gRNA,3
DBTL-1,Failed,3-gRNA,0
DBTL-1,Failed,4-gRNA,0
DBTL-2,Failed,1-gRNA,0
DBTL-2,Failed,2-gRNA,2
DBTL-2,Failed,3-gRNA,0
DBTL-2,Failed,4-gRNA,0
DBTL-3,Failed,1-gRNA,0
DBTL-3,Failed,2-gRNA,0
DBTL-3,Failed,3-gRNA,5
DBTL-3,Failed,4-gRNA,1
DBTL-4,Failed,1-gRNA,0
DBTL-4,Failed,2-gRNA,1
DBTL-4,Failed,3-gRNA,2
DBTL-4,Failed,4-gRNA,0
DBTL-5,Failed,1-gRNA,0
DBTL-5,Failed,2-gRNA,0
DBTL-5,Failed,3-gRNA,1
DBTL-5,Failed,4-gRNA,1
DBTL-6,Failed,1-gRNA,0
DBTL-6,Failed,2-gRNA,0
DBTL-6,Failed,3-gRNA,1
DBTL-6,Failed,4-gRNA,0
DBTL-1,Control,1-gRNA,4
DBTL-2,Control,1-gRNA,4
DBTL-3,Control,1-gRNA,4
DBTL-4,Control,1-gRNA,4
DBTL-5,Control,1-gRNA,4
DBTL-6,Control,1-gRNA,4
