Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Top_3pep_counts_mean,%_of_protein_abundance_Top3-method,log10_%_abundance,Source
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0812,R1,1867006.267,0.03816448,-1.418340647,September
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0812,R2,2733587.667,0.057915249,-1.237207072,September
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0812,R3,4146666.667,0.088309332,-1.053993403,September
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0812,R1,1998624.933,0.040854968,-1.388755122,September
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0812,R2,1966566.067,0.04166472,-1.380231537,September
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0812,R3,2805249.5,0.059741891,-1.223721035,September
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0812,R1,654339.6,0.013375708,-1.873683218,September
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0812,R2,1626666.667,0.034463429,-1.462641511,September
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0812,R3,2030000,0.043231819,-1.364196491,September
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0812,R1,1381616.933,0.028242376,-1.549098775,September
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0812,R2,1015265.367,0.021509955,-1.667360507,September
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0812,R3,2111485.667,0.044967175,-1.347104391,September
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0812,R1,167463.1333,0.003423204,-2.46556721,September
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0812,R2,684029.7333,0.014492219,-1.838865098,September
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0812,R3,481991.5,0.010264714,-1.988653149,September
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0812,R1,28341.8,0.00057935,-3.237058994,September
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0812,R2,25153.1,0.000532907,-3.273348561,September
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0812,R3,257041.1667,0.005474068,-2.261689845,September
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0812,R1,28341.8,0.00057935,-3.237058994,September
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0812,R2,221534.4,0.004693546,-2.328498905,September
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0812,R3,206255.1667,0.004392505,-2.357287692,September
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0812,R1,1276113.933,0.026085732,-1.583596972,September
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0812,R2,1438384.367,0.03047438,-1.516065124,September
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0812,R3,994447,0.021178203,-1.674110886,September
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0812,R1,886991.3333,0.018131467,-1.741567046,September
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0812,R2,1054055.667,0.022331787,-1.651076531,September
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0812,R3,975430,0.020773208,-1.68249642,September
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0812,R1,1078894.533,0.022054264,-1.65650743,September
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0812,R2,1270686.4,0.026921441,-1.569901696,September
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0812,R3,756537.8333,0.01611158,-1.792861877,September
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0812,R1,37789.06667,0.000772467,-3.112120257,September
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0812,R2,33537.46667,0.000710543,-3.148409824,September
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0812,R3,198507.5,0.004227508,-2.373915609,September
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0812,R1,378894.5333,0.007745187,-2.110968083,September
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0812,R2,939442.3333,0.019903527,-1.701069951,September
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0812,R3,313553.6667,0.006677584,-2.175380645,September
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0812,R1,157714.5333,0.003223928,-2.491614707,September
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0812,R2,153354.3667,0.003249048,-2.488243931,September
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0812,R3,406975.5,0.008667139,-2.062124263,September
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0812,R1,191911.1333,0.003922959,-2.406386252,September
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0812,R2,125709.4333,0.002663347,-2.574572209,September
