Strain,Measurement Type,Time,Titer,Units
DBTL0.1_WA1_C1,CID:12988,48,96.9694,mg/L
DBTL0.1_WA1_C1,CID:12988,48,101.313,mg/L
DBTL0.1_WA1_C1,CID:12988,48,97.7095,mg/L
DBTL0.1_WD1_F1,CID:12988,48,181.273,mg/L
DBTL0.1_WD1_F1,CID:12988,48,177.8051,mg/L
DBTL0.1_WD1_F1,CID:12988,48,186.7961,mg/L
DBTL0.1_WA2_C2,CID:12988,48,100.6393,mg/L
DBTL0.1_WA2_C2,CID:12988,48,100.0729,mg/L
DBTL0.1_WA2_C2,CID:12988,48,98.5939,mg/L
DBTL0.1_WD2_F2,CID:12988,48,165.4616,mg/L
DBTL0.1_WD2_F2,CID:12988,48,171.0479,mg/L
DBTL0.1_WD2_F2,CID:12988,48,183.9877,mg/L
DBTL0.1_WA3_C3,CID:12988,48,147.9616,mg/L
DBTL0.1_WA3_C3,CID:12988,48,141.1453,mg/L
DBTL0.1_WA3_C3,CID:12988,48,148.6861,mg/L
DBTL0.1_WD3_F3,CID:12988,48,228.0492,mg/L
DBTL0.1_WD3_F3,CID:12988,48,232.1245,mg/L
DBTL0.1_WD3_F3,CID:12988,48,238.1127,mg/L
DBTL0.1_WA4_C4,CID:12988,48,35.7863,mg/L
DBTL0.1_WA4_C4,CID:12988,48,49.4627,mg/L
DBTL0.1_WA4_C4,CID:12988,48,48.2331,mg/L
DBTL0.1_WD4_F4,CID:12988,48,101.67,mg/L
DBTL0.1_WD4_F4,CID:12988,48,100.5223,mg/L
DBTL0.1_WD4_F4,CID:12988,48,92.8787,mg/L
DBTL0.1_WA5_C5,CID:12988,48,114.3873,mg/L
DBTL0.1_WA5_C5,CID:12988,48,116.3746,mg/L
DBTL0.1_WA5_C5,CID:12988,48,117.4057,mg/L
DBTL0.1_WD5_F5,CID:12988,48,142.0695,mg/L
DBTL0.1_WD5_F5,CID:12988,48,144.9431,mg/L
DBTL0.1_WD5_F5,CID:12988,48,141.5315,mg/L
DBTL0.1_WA6_C6,CID:12988,48,135.2999,mg/L
