line_name,PP_0444,isoprenol
PP_3123_PP_5288_c1,1.1551141733335417,0.7900479072967578
PP_1506_PP_1769_c3,0.750236898176453,1.1625281037247708
PP_0368_PP_4191_PP_4192_c1,0.9748365694197448,1.5363650513992553
PP_0813_PP_1769_PP_4189_c3,0.9053448270547317,1.907777235378289
PP_0751_PP_0814_PP_4191_c4,0.8971017183134817,2.285084932195118
PP_0528_PP_0751_PP_0814_c4,0.8057179566037344,2.662801281735358
PP_0751_PP_0815_PP_4189_c5,0.728145754174526,3.019730762032894
PP_0815_PP_4191_c6,0.5600307497959748,3.3442475911686333
PP_0528_PP_0815_c4,0.49308782006941,3.791391987801969
PP_0751_PP_0815_c4,0.5582244307859431,4.152018532563921
