,Line Name,line_name_norep,to_keep_improved
0,PP_0368_PP_0751_PP_0812-R1,PP_0368_PP_0751_PP_0812,True
1,PP_0368_PP_0751_PP_0813-R1,PP_0368_PP_0751_PP_0813,True
2,PP_0368_PP_0751_PP_4189-R1,PP_0368_PP_0751_PP_4189,True
3,PP_0368_PP_0812_PP_0814-R1,PP_0368_PP_0812_PP_0814,True
5,PP_0368_PP_0814_PP_0815-R1,PP_0368_PP_0814_PP_0815,True
6,PP_0751_PP_0814_PP_4189-R1,PP_0751_PP_0814_PP_4189,True
7,PP_0812_PP_0813_PP_0814-R1,PP_0812_PP_0813_PP_0814,True
8,PP_0368_PP_0751_PP_0812-R2,PP_0368_PP_0751_PP_0812,True
9,PP_0368_PP_0751_PP_0813-R2,PP_0368_PP_0751_PP_0813,True
10,PP_0368_PP_0751_PP_4189-R2,PP_0368_PP_0751_PP_4189,True
11,PP_0368_PP_0812_PP_0814-R2,PP_0368_PP_0812_PP_0814,True
13,PP_0368_PP_0814_PP_0815-R2,PP_0368_PP_0814_PP_0815,True
14,PP_0751_PP_0814_PP_4189-R2,PP_0751_PP_0814_PP_4189,True
15,PP_0812_PP_0813_PP_0814-R2,PP_0812_PP_0813_PP_0814,True
16,PP_0368_PP_0751_PP_0812-R3,PP_0368_PP_0751_PP_0812,True
17,PP_0368_PP_0751_PP_0813-R3,PP_0368_PP_0751_PP_0813,True
18,PP_0368_PP_0751_PP_4189-R3,PP_0368_PP_0751_PP_4189,True
19,PP_0368_PP_0812_PP_0814-R3,PP_0368_PP_0812_PP_0814,True
21,PP_0368_PP_0814_PP_0815-R3,PP_0368_PP_0814_PP_0815,True
22,PP_0751_PP_0814_PP_4189-R3,PP_0751_PP_0814_PP_4189,True
23,PP_0812_PP_0813_PP_0814-R3,PP_0812_PP_0813_PP_0814,True
24,PP_0368_PP_0812_PP_2136-R1,PP_0368_PP_0812_PP_2136,True
25,PP_0812_PP_0813_PP_1317-R1,PP_0812_PP_0813_PP_1317,True
27,PP_0812_PP_0813_PP_4189-R1,PP_0812_PP_0813_PP_4189,True
28,PP_0812_PP_0815_PP_4189-R1,PP_0812_PP_0815_PP_4189,True
29,PP_0812_PP_0815_PP_2136-R1,PP_0812_PP_0815_PP_2136,True
30,PP_0368_PP_0437-R1,PP_0368_PP_0437,True
31,Control_P1-R1,Control,True
32,PP_0368_PP_0812_PP_2136-R2,PP_0368_PP_0812_PP_2136,True
33,PP_0812_PP_0813_PP_1317-R2,PP_0812_PP_0813_PP_1317,True
35,PP_0812_PP_0813_PP_4189-R2,PP_0812_PP_0813_PP_4189,True
36,PP_0812_PP_0815_PP_4189-R2,PP_0812_PP_0815_PP_4189,True
37,PP_0812_PP_0815_PP_2136-R2,PP_0812_PP_0815_PP_2136,True
38,PP_0368_PP_0437-R2,PP_0368_PP_0437,True
39,Control_P1-R2,Control,True
40,PP_0368_PP_0812_PP_2136-R3,PP_0368_PP_0812_PP_2136,True
41,PP_0812_PP_0813_PP_1317-R3,PP_0812_PP_0813_PP_1317,True
43,PP_0812_PP_0813_PP_4189-R3,PP_0812_PP_0813_PP_4189,True
44,PP_0812_PP_0815_PP_4189-R3,PP_0812_PP_0815_PP_4189,True
45,PP_0812_PP_0815_PP_2136-R3,PP_0812_PP_0815_PP_2136,True
46,PP_0368_PP_0437-R3,PP_0368_PP_0437,True
47,Control_P1-R3,Control,True
48,PP_0368_PP_0751_PP_0812_PP_0815-R1,PP_0368_PP_0751_PP_0812_PP_0815,True
49,PP_0368_PP_0812_PP_0813_PP_0815-R1,PP_0368_PP_0812_PP_0813_PP_0815,True
51,PP_0368_PP_0812_PP_0815_PP_2136-R1,PP_0368_PP_0812_PP_0815_PP_2136,True
53,PP_0368_PP_0751_PP_0815-R1,PP_0368_PP_0751_PP_0815,True
54,PP_0368_PP_0812_PP_4189-R1,PP_0368_PP_0812_PP_4189,True
56,PP_0368_PP_0751_PP_0812_PP_0815-R2,PP_0368_PP_0751_PP_0812_PP_0815,True
57,PP_0368_PP_0812_PP_0813_PP_0815-R2,PP_0368_PP_0812_PP_0813_PP_0815,True
59,PP_0368_PP_0812_PP_0815_PP_2136-R2,PP_0368_PP_0812_PP_0815_PP_2136,True
61,PP_0368_PP_0751_PP_0815-R2,PP_0368_PP_0751_PP_0815,True
62,PP_0368_PP_0812_PP_4189-R2,PP_0368_PP_0812_PP_4189,True
64,PP_0368_PP_0751_PP_0812_PP_0815-R3,PP_0368_PP_0751_PP_0812_PP_0815,True
65,PP_0368_PP_0812_PP_0813_PP_0815-R3,PP_0368_PP_0812_PP_0813_PP_0815,True
67,PP_0368_PP_0812_PP_0815_PP_2136-R3,PP_0368_PP_0812_PP_0815_PP_2136,True
69,PP_0368_PP_0751_PP_0815-R3,PP_0368_PP_0751_PP_0815,True
70,PP_0368_PP_0812_PP_4189-R3,PP_0368_PP_0812_PP_4189,True
72,PP_0368_PP_0815_PP_4189-R1,PP_0368_PP_0815_PP_4189,True
73,PP_0751_PP_0812_PP_0815-R1,PP_0751_PP_0812_PP_0815,True
74,PP_0751_PP_0812_PP_4189-R1,PP_0751_PP_0812_PP_4189,True
77,PP_0812_PP_0814_PP_0815-R1,PP_0812_PP_0814_PP_0815,True
78,PP_0813_PP_0814_PP_0815-R1,PP_0813_PP_0814_PP_0815,True
79,Control_P2-R1,Control,True
80,PP_0368_PP_0815_PP_4189-R2,PP_0368_PP_0815_PP_4189,True
