Organism,Protein,COG,Cat,Annotation
1714,2498,COG0001,H,Glutamate-1-semialdehyde aminotransferase
1867,1963,COG0002,E,N-acetyl-gamma-glutamylphosphate reductase
1728,2790,COG0004,P,Ammonia channel protein AmtB
2212,5179,COG0006,E,Xaa-Pro aminopeptidase
1634,2474,COG0007,H,Uroporphyrinogen-III methylase (siroheme synthase)
2285,4601,COG0008,J,Glutamyl- or glutaminyl-tRNA synthetase
2242,3252,COG0009,J,tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC
1495,3050,COG0010,E,Arginase/agmatinase family enzyme
2264,2359,COG0012,J,"Ribosome-binding ATPase YchF, GTP1/OBG family"
2268,2542,COG0013,J,Alanyl-tRNA synthetase
1721,1827,COG0014,E,Gamma-glutamyl phosphate reductase
2137,2588,COG0015,F,Adenylosuccinate lyase
2274,2321,COG0016,J,Phenylalanyl-tRNA synthetase alpha subunit
2269,2431,COG0018,J,Arginyl-tRNA synthetase
2035,3493,COG0019,E,Diaminopimelate decarboxylase
2223,2665,COG0020,I,Undecaprenyl pyrophosphate synthase
1689,2107,COG0021,G,Transketolase
1445,3036,COG0022,C,"Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component, beta subunit"
782,828,COG0023,J,Translation initiation factor 1 (eIF-1/SUI1)
2274,3226,COG0024,J,Methionine aminopeptidase
1328,2373,COG0025,P,NhaP-type Na+/H+ or K+/H+ antiporter
1565,1600,COG0026,F,Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)
502,508,COG0027,F,Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase)
1982,5797,COG0028,E H,Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme
1539,1704,COG0029,H,Aspartate oxidase
2251,2589,COG0030,J,"rRNA adenine N6-methylase, includes 16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM and 23S rRNA A2058 N6-methylase ErmO/TlrD (may also have DNA glycosylase/AP lyase activity)"
2072,4584,COG0031,E,Cysteine synthase
714,731,COG0033,G,Phosphoglucomutase/phosphomannomutase
2059,2195,COG0034,F,Glutamine phosphoribosylpyrophosphate amidotransferase
1669,1733,COG0035,F,Uracil phosphoribosyltransferase
2098,2392,COG0036,G,Pentose-5-phosphate-3-epimerase
2249,3517,COG0037,J,tRNA-C32 2-thiocytidine or tRNA(Ile)-C34 C2-lysylcytidine synthase TtcA/TilS/MesJ
1382,2159,COG0038,P,H+/Cl- antiporter ClcA
1860,2408,COG0039,C,Malate/lactate dehydrogenase
1899,1931,COG0040,E,ATP phosphoribosyltransferase
2066,2107,COG0041,F,Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase
2086,3312,COG0042,J,tRNA-dihydrouridine synthase
1098,1392,COG0043,H,3-polyprenyl-4-hydroxybenzoate decarboxylase
1962,3539,COG0044,F,Dihydroorotase or related cyclic amidohydrolase
1750,1948,COG0045,C,"Succinyl-CoA synthetase, beta subunit"
2043,2059,COG0046,F,"Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain"
2049,2053,COG0047,F,"Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain"
2221,2148,COG0048,J,Ribosomal protein S12
2280,2269,COG0049,J,Ribosomal protein S7
2079,2400,COG0050,J,"Translation elongation factor EF-Tu, a GTPase"
2248,2246,COG0052,J,Ribosomal protein S2
1859,2797,COG0053,P,Divalent metal cation (Fe/Co/Zn/Cd) efflux pump
1934,2062,COG0054,H,"6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)"
1961,2161,COG0055,C,"FoF1-type ATP synthase, beta subunit"
1959,2143,COG0056,C,"FoF1-type ATP synthase, alpha subunit"
2241,3633,COG0057,G,Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase
1312,1815,COG0058,G,Glucan phosphorylase
1880,1948,COG0059,E H,Ketol-acid reductoisomerase
2258,2313,COG0060,J,Isoleucyl-tRNA synthetase
2178,2516,COG0061,H,NAD kinase
1999,2106,COG0063,F,"NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate dehydratase (NAXD) domain"
1884,1929,COG0064,J,Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit
