Sample,titer
Non-Target,298.0681
Target,464.3335
PP_0378,240.3454
PP_0379,184.1851
PP_0977_3,333.8241
PP_1982,284.764
PP_0986,18.1312
PP_2680,224.4409
PP_1018,265.2564
PP_5313,285.8026
PP_1593,129.349
PP_2665,251.6534
PP_2664,296.4293
PP_3379,198.3728
PP_3416,185.8615
PP_1638_1,208.4875
PP_0977_1,293.951
PP_0977_2,224.4176
PP_1638_2,277.4282
PP_1638_3,285.1929
Non-Target,309.4453
Target,477.8291
PP_0378,207.6189
PP_0379,174.3653
PP_0977_3,314.1933
PP_1982,285.5728
PP_0986,17.83
PP_2680,227.053
PP_1018,271.616
PP_5313,273.2655
PP_1593,139.108
PP_2665,247.7227
PP_2664,300.9721
PP_3379,198.0058
PP_3416,209.4819
PP_1638_1,200.2362
PP_0977_1,287.3513
PP_0977_2,232.6854
PP_1638_2,273.7517
PP_1638_3,281.1343
Non-Target,293.9713
Target,450.4693
PP_0378,
PP_0379,183.4182
PP_0977_3,326.6844
PP_1982,287.495
PP_0986,16.2394
PP_2680,220.4382
PP_1018,263.5373
PP_5313,252.5774
PP_1593,145.077
PP_2665,236.69
PP_2664,279.5788
PP_3379,199.0978
PP_3416,
PP_1638_1,187.5923
PP_0977_1,316.0228
PP_0977_2,233.0683
PP_1638_2,292.2161
PP_1638_3,271.3805
