Cycle,Status,Array,# Arrays
DBTL-1,Constuct,2-gRNA,30
DBTL-1,Constuct,3-gRNA,30
DBTL-1,Constuct,4-gRNA,0
DBTL-2,Constuct,2-gRNA,25
DBTL-2,Constuct,3-gRNA,30
DBTL-2,Constuct,4-gRNA,5
DBTL-3,Constuct,2-gRNA,25
DBTL-3,Constuct,3-gRNA,30
DBTL-3,Constuct,4-gRNA,5
DBTL-4,Constuct,2-gRNA,25
DBTL-4,Constuct,3-gRNA,30
DBTL-4,Constuct,4-gRNA,5
DBTL-5,Constuct,2-gRNA,25
DBTL-5,Constuct,3-gRNA,30
DBTL-5,Constuct,4-gRNA,5
DBTL-6,Constuct,2-gRNA,10
DBTL-6,Constuct,3-gRNA,30
DBTL-6,Constuct,4-gRNA,20
DBTL-1,Control,Control,4
DBTL-2,Control,Control,4
DBTL-3,Control,Control,4
DBTL-4,Control,Control,4
DBTL-5,Control,Control,4
DBTL-6,Control,Control,4
